year, month, day, hour, minute, second, lon, lat, depth, mag
1848, 10, 25, 8, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 25, 8, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 25, 9, 25, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 25, 11, 25, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 25, 13, 15, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 25, 13, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 25, 15, 55, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 26, 0, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 26, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1848, 10, 27, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1848, 10, 28, 13, 55, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 28, 14, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 28, 15, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 28, 15, 30, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 29, 0, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 31, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1848, 10, 31, 3, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 31, 6, 50, 0.000, 173.6000, -41.9000, 12.00, 5.500
1848, 10, 31, 19, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 10, 31, 21, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 1, 0, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 2, 0, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 2, 15, 25, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 2, 15, 30, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 2, 16, 10, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 3, 0, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 3, 7, 45, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 3, 11, 30, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 5, 3, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 6, 7, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 7, 8, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 7, 12, 40, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 7, 20, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 7, 21, 20, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 8, 1, 5, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 8, 2, 5, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 8, 3, 30, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 8, 13, 0, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 8, 16, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1848, 11, 9, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 5.500
1848, 11, 9, 6, 43, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 9, 13, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 9, 15, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 9, 23, 50, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 10, 1, 35, 0.000, 173.6000, -41.9000, 12.00, 4.500
1848, 11, 10, 9, 28, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 10, 16, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 11, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 12, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 12, 2, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 14, 2, 35, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 14, 11, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 15, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1848, 11, 15, 0, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
