year, month, day, hour, minute, second, lon, lat, depth, mag
1949, 2, 21, 19, 26, 40.000, 176.5000, -37.3300, 257.00, 5.104
1949, 4, 2, 12, 10, 47.000, 176.3500, -38.0900, 291.00, 4.083
1949, 5, 5, 15, 29, 52.000, 172.6000, -41.2200, 181.00, 3.579
1949, 5, 24, 22, 47, 17.000, 176.4100, -38.1200, 156.00, 3.945
1949, 5, 27, 8, 54, 10.000, 167.4300, -45.4600, 92.00, 6.043
1949, 5, 29, 18, 12, 22.000, 174.3600, -39.6400, 200.00, 4.860
1949, 6, 7, 18, 28, 7.000, 175.9900, -36.7500, 164.00, 3.926
1949, 6, 19, 1, 55, 22.000, 175.1500, -39.0300, 235.00, 3.859
1949, 6, 20, 4, 35, 35.000, 177.1800, -35.1100, 179.00, 4.757
1949, 6, 24, 22, 14, 19.000, 175.8400, -38.9500, 168.00, 4.477
1949, 6, 27, 8, 6, 7.000, 177.0900, -37.5700, 340.00, 4.323
1949, 7, 3, 8, 2, 19.000, 176.3100, -38.1900, 152.00, 3.853
1949, 7, 12, 5, 2, 19.000, 175.9200, -37.6800, 274.00, 3.664
1949, 7, 21, 15, 10, 55.000, 173.7300, -40.1000, 159.00, 4.652
1949, 8, 7, 22, 10, 4.000, 175.6700, -38.9500, 182.00, 4.495
1949, 8, 25, 9, 22, 34.000, 178.4400, -36.4100, 258.00, 4.722
1949, 8, 28, 19, 30, 2.000, 174.3400, -41.2600, 107.00, 3.042
1949, 8, 28, 22, 42, 57.000, 174.1400, -40.5300, 103.00, 3.153
1949, 8, 29, 22, 44, 8.000, 173.0300, -41.5400, 58.00, 3.464
1949, 9, 8, 11, 50, 50.000, 173.7600, -40.5600, 125.00, 3.713
1949, 9, 11, 20, 23, 33.000, 176.2000, -38.4400, 148.00, 4.984
1949, 9, 29, 0, 24, 42.000, 175.1900, -38.8100, 229.00, 3.771
1949, 9, 30, 8, 28, 53.000, 174.0500, -40.7100, 103.00, 3.153
1949, 11, 9, 16, 8, 31.000, 172.9700, -41.4700, 108.00, 3.141
1949, 12, 18, 5, 39, 10.000, 179.9700, -35.1200, 300.00, 5.931
1949, 12, 18, 9, 35, 23.000, 176.1700, -39.4300, 130.00, 5.460
1949, 12, 19, 13, 55, 26.000, 172.9200, -40.9100, 214.00, 3.705
1949, 12, 24, 9, 24, 13.000, 175.6700, -38.9100, 160.00, 3.527
1950, 1, 9, 8, 40, 7.000, 177.6400, -38.2900, 110.00, 4.921
1950, 1, 9, 13, 9, 50.000, 176.8300, -37.3600, 309.00, 4.193
1950, 1, 12, 20, 48, 18.000, 174.5700, -41.1900, 50.00, 5.217
1950, 1, 12, 20, 49, 48.000, 174.6500, -41.1900, 50.00, 5.217
1950, 1, 13, 10, 13, 26.000, 174.9600, -39.1500, 226.00, 4.904
1950, 1, 17, 4, 15, 46.000, 175.8200, -38.8700, 142.00, 4.488
1950, 1, 25, 7, 45, 6.000, 177.2800, -39.0300, 81.00, 3.920
1950, 1, 30, 9, 4, 39.000, 176.4000, -40.1800, 96.00, 3.476
1950, 2, 1, 3, 35, 3.000, 177.0900, -37.2300, 223.00, 4.295
1950, 2, 13, 8, 14, 59.000, 175.7900, -38.9200, 138.00, 4.090
1950, 2, 17, 17, 10, 22.000, 178.3000, -37.5400, 289.00, 3.730
1950, 2, 20, 10, 44, 47.000, 177.3800, -37.6700, 289.00, 4.597
