year, month, day, lon, lat, dep, mag, isslab
1950, 12, 10, 175.8400, -38.5300, 167.0000, 4.225, 1
1950, 12, 16, 175.1000, -40.6000, 72.0000, 4.145, 1
1951, 1, 28, 172.8000, -41.3500, 129.0000, 3.499, 1
1951, 2, 1, 174.5100, -39.2100, 149.0000, 3.452, 1
1951, 2, 13, 173.5400, -40.7700, 69.0000, 3.540, 0
1951, 2, 24, 176.8500, -37.9800, 123.0000, 4.737, 1
1951, 2, 26, 172.9500, -41.2600, 150.0000, 3.347, 1
1951, 3, 9, 175.5900, -38.3600, 158.0000, 4.042, 1
1951, 3, 28, 176.9771, -37.0558, 394.1500, 5.398, 1
1951, 3, 31, 173.1400, -41.3300, 108.0000, 3.447, 1
1951, 4, 23, 177.8400, -37.5300, 80.0000, 5.908, 1
1951, 4, 24, 174.2700, -40.6400, 80.0000, 3.310, 1
1951, 4, 30, 176.5500, -38.1400, 238.0000, 3.954, 1
1951, 5, 4, 175.5700, -38.7300, 166.0000, 3.717, 1
1951, 5, 31, 173.3700, -40.5600, 190.0000, 3.762, 1
1951, 6, 6, 175.2200, -39.2300, 60.0000, 3.511, 0
1951, 6, 15, 178.4300, -36.7400, 131.0000, 4.106, 1
1951, 6, 20, 175.8800, -38.6300, 141.0000, 4.083, 1
1951, 7, 2, 173.9200, -40.3200, 100.0000, 3.364, 1
1951, 7, 10, 176.1900, -37.7700, 200.0000, 4.554, 1
1951, 7, 20, 176.5300, -36.9800, 288.0000, 4.141, 1
1951, 7, 26, 173.8000, -40.6900, 107.0000, 3.348, 1
1951, 8, 4, 176.0900, -37.5000, 292.0000, 3.519, 1
1951, 8, 4, 173.0900, -41.4100, 83.0000, 4.119, 1
1951, 8, 5, 175.6200, -39.3000, 98.0000, 3.930, 1
1951, 8, 12, 174.0300, -39.7200, 248.0000, 3.522, 1
1951, 8, 19, 173.5400, -40.8100, 121.0000, 4.130, 1
1951, 8, 23, 178.6100, -36.2000, 254.0000, 4.630, 1
1951, 8, 24, 175.2300, -39.4900, 98.0000, 3.573, 1
1951, 8, 30, 172.4800, -42.0700, 133.0000, 3.286, 1
1951, 8, 30, 172.5700, -42.1400, 122.0000, 3.618, 1
1951, 9, 4, 175.4400, -38.7100, 174.0000, 4.871, 1
1951, 9, 11, 177.6200, -38.8300, 71.0000, 4.198, 1
1951, 9, 13, 176.2700, -39.2300, 116.0000, 3.887, 1
1951, 9, 14, 174.0200, -39.7400, 229.0000, 3.771, 1
1951, 9, 30, 174.7300, -39.2700, 221.0000, 4.351, 1
1951, 10, 1, 176.7400, -38.3300, 210.0000, 3.969, 1
1951, 10, 13, 173.3700, -41.4400, 76.0000, 3.421, 1
1951, 10, 23, 178.2500, -35.5600, 214.0000, 4.368, 1
1951, 10, 24, 173.9600, -40.0800, 150.0000, 5.030, 1
1951, 11, 4, 176.2100, -38.2300, 287.0000, 4.347, 1
1951, 11, 14, 175.0300, -39.2200, 199.0000, 4.404, 1
1951, 12, 24, 177.2500, -38.0800, 137.0000, 3.684, 1
1951, 12, 24, 177.0300, -38.3000, 135.0000, 4.199, 1
1952, 1, 10, 176.1600, -38.5200, 194.0000, 4.008, 1
1952, 1, 27, 178.5000, -38.5400, 82.0000, 3.764, 1
1952, 2, 6, 174.6100, -39.4800, 147.0000, 3.711, 1
1952, 2, 10, 177.9500, -38.5300, 85.0000, 5.185, 1
1952, 2, 22, 175.5900, -39.7100, 73.0000, 3.939, 1
1952, 2, 26, 173.4700, -40.5000, 162.0000, 3.523, 1
1952, 3, 6, 176.7300, -38.1900, 166.0000, 4.635, 1
1952, 3, 8, 179.4000, -36.2900, 302.0000, 3.598, 1
1952, 3, 11, 178.6800, -37.2800, 136.0000, 3.942, 1
1952, 3, 16, 174.0700, -39.9800, 138.0000, 4.498, 1
1952, 3, 17, 175.6300, -38.4700, 176.0000, 3.744, 1
1952, 3, 18, 175.9700, -38.3400, 181.0000, 3.529, 1
1952, 3, 20, 177.5600, -37.5500, 183.0000, 4.391, 1
1952, 3, 29, 177.1500, -38.1600, 146.0000, 3.204, 1
1952, 4, 17, 175.2300, -39.0100, 192.0000, 3.553, 1
1952, 4, 26, 176.9000, -38.2800, 164.0000, 3.212, 1
1952, 5, 6, 172.8300, -41.4000, 158.0000, 3.226, 1
1952, 5, 11, 176.4100, -38.2000, 176.0000, 4.356, 1
1952, 5, 11, 174.7700, -39.4200, 145.0000, 4.379, 1
1952, 5, 20, 173.5200, -42.4800, 103.0000, 3.357, 1
