clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
180.5749,-35.6792,26.618,180.5800,-35.6933,38.502,180.5847,-35.7063,49.396
180.4734,-35.6379,27.773,180.4804,-35.6574,39.553,180.4868,-35.6753,50.351
180.3737,-35.5985,29.341,180.3832,-35.6244,40.948,180.3920,-35.6482,51.588
180.2760,-35.5606,31.423,180.2884,-35.5936,42.784,180.2998,-35.6238,53.198
180.1808,-35.5235,34.131,180.1962,-35.5633,45.185,180.2104,-35.5998,55.319
180.0883,-35.4866,37.515,180.1066,-35.5326,48.234,180.1234,-35.5747,58.060
179.9983,-35.4496,41.582,180.0194,-35.5007,51.973,180.0387,-35.5475,61.498
179.9109,-35.4126,46.274,179.9343,-35.4677,56.362,179.9558,-35.5182,65.610
179.8259,-35.3756,51.487,179.8515,-35.4340,61.300,179.8751,-35.4875,70.295
179.7431,-35.3391,57.131,179.7709,-35.4001,66.690,179.7964,-35.4561,75.451
179.6625,-35.3032,63.108,179.6923,-35.3667,72.414,179.7197,-35.4249,80.944
179.5843,-35.2680,69.364,179.6162,-35.3338,78.412,179.6455,-35.3942,86.707
179.5082,-35.2338,75.882,179.5420,-35.3018,84.669,179.5731,-35.3641,92.724
179.4344,-35.2004,82.650,179.4703,-35.2704,91.175,179.5032,-35.3345,98.989
179.3627,-35.1678,89.669,179.4004,-35.2396,97.940,179.4350,-35.3053,105.522
179.2932,-35.1359,96.947,179.3326,-35.2091,104.984,179.3688,-35.2763,112.352
179.2254,-35.1046,104.465,179.2664,-35.1791,112.290,179.3040,-35.2474,119.462
179.1593,-35.0738,112.199,179.2016,-35.1494,119.835,179.2405,-35.2187,126.834
179.0948,-35.0435,120.134,179.1386,-35.1199,127.605,179.1787,-35.1899,134.453
179.0314,-35.0137,128.243,179.0763,-35.0908,135.567,179.1175,-35.1614,142.280
178.9692,-34.9844,136.486,179.0151,-35.0620,143.678,179.0573,-35.1332,150.270
178.9083,-34.9554,144.852,178.9553,-35.0335,151.924,178.9985,-35.1051,158.407
178.8482,-34.9268,153.334,178.8961,-35.0053,160.297,178.9401,-35.0773,166.680
178.7888,-34.8987,161.904,178.8374,-34.9776,168.767,178.8822,-35.0499,175.058
178.7303,-34.8709,170.556,178.7798,-34.9501,177.326,178.8253,-35.0227,183.531
178.6727,-34.8433,179.293,178.7230,-34.9228,185.977,178.7692,-34.9956,192.104
