clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
180.2390,-35.3518,47.316,180.3158,-35.3219,45.539,180.2485,-35.4129,45.961,180.1617,-35.3818,49.150,180.2300,-35.2907,48.616
180.1529,-35.3203,50.794,180.2300,-35.2907,48.616,180.1617,-35.3818,49.150,180.0770,-35.3493,53.051,180.1428,-35.2595,52.360
180.0688,-35.2877,54.964,180.1428,-35.2595,52.360,180.0770,-35.3493,53.051,179.9946,-35.3158,57.604,180.0606,-35.2262,56.841
179.9861,-35.2544,59.741,180.0606,-35.2262,56.841,179.9946,-35.3158,57.604,179.9133,-35.2820,62.690,179.9758,-35.1938,61.827
179.9048,-35.2209,65.025,179.9758,-35.1938,61.827,179.9133,-35.2820,62.690,179.8349,-35.2477,68.241,179.8952,-35.1603,67.341
179.8253,-35.1876,70.709,179.8952,-35.1603,67.341,179.8349,-35.2477,68.241,179.7567,-35.2146,74.085,179.8146,-35.1278,73.169
179.7473,-35.1549,76.694,179.8146,-35.1278,73.169,179.7567,-35.2146,74.085,179.6822,-35.1814,80.241,179.7359,-35.0959,79.279
179.6714,-35.1228,82.948,179.7359,-35.0959,79.279,179.6822,-35.1814,80.241,179.6079,-35.1497,86.613,179.6598,-35.0644,85.658
179.5969,-35.0917,89.431,179.6598,-35.0644,85.658,179.6079,-35.1497,86.613,179.5359,-35.1186,93.223,179.5841,-35.0342,92.231
179.5248,-35.0610,96.157,179.5841,-35.0342,92.231,179.5359,-35.1186,93.223,179.4676,-35.0873,100.119,179.5116,-35.0041,99.055
179.4538,-35.0312,103.124,179.5116,-35.0041,99.055,179.4676,-35.0873,100.119,179.3962,-35.0584,107.190,179.4400,-34.9749,106.131
179.3845,-35.0018,110.328,179.4400,-34.9749,106.131,179.3962,-35.0584,107.190,179.3317,-35.0278,114.587,179.3701,-34.9460,113.402
179.3170,-34.9727,117.763,179.3701,-34.9460,113.402,179.3317,-35.0278,114.587,179.2641,-34.9994,122.135,179.3022,-34.9174,120.928
179.2500,-34.9443,125.405,179.3022,-34.9174,120.928,179.2641,-34.9994,122.135,179.1980,-34.9712,129.893,179.2355,-34.8892,128.665
179.1850,-34.9160,133.240,179.2355,-34.8892,128.665,179.1980,-34.9712,129.893,179.1369,-34.9419,137.890,179.1697,-34.8616,136.510
179.1211,-34.8881,141.239,179.1697,-34.8616,136.510,179.1369,-34.9419,137.890,179.0716,-34.9151,145.949,179.1061,-34.8339,144.609
179.0576,-34.8609,149.385,179.1061,-34.8339,144.609,179.0716,-34.9151,145.949,179.0094,-34.8878,154.170,179.0431,-34.8067,152.812
178.9956,-34.8337,157.642,179.0431,-34.8067,152.812,179.0094,-34.8878,154.170,178.9496,-34.8602,162.536,178.9802,-34.7801,161.050
178.9346,-34.8069,166.030,178.9802,-34.7801,161.050,178.9496,-34.8602,162.536,178.8880,-34.8341,170.984,178.9206,-34.7531,169.551
178.8744,-34.7804,174.538,178.9206,-34.7531,169.551,178.8880,-34.8341,170.984,178.8282,-34.8078,179.530,178.8607,-34.7268,178.089
178.8147,-34.7543,183.099,178.8607,-34.7268,178.089,178.8282,-34.8078,179.530,178.7701,-34.7815,188.176,178.7998,-34.7013,186.603
178.7562,-34.7284,191.762,178.7998,-34.7013,186.603,178.7701,-34.7815,188.176,178.7114,-34.7559,196.912,178.7437,-34.6749,195.357
178.6989,-34.7027,200.525,178.7437,-34.6749,195.357,178.7114,-34.7559,196.912,178.6537,-34.7306,205.711,178.6867,-34.6492,204.118
178.6415,-34.6774,209.314,178.6867,-34.6492,204.118,178.6537,-34.7306,205.711,178.5972,-34.7053,214.567,178.6283,-34.6245,212.860
178.5852,-34.6524,218.145,178.6283,-34.6245,212.860,178.5972,-34.7053,214.567,178.5412,-34.6805,223.495,178.5742,-34.5991,221.656
178.5303,-34.6276,227.020,178.5742,-34.5991,221.656,178.5412,-34.6805,223.495,178.4857,-34.6562,232.478,178.5202,-34.5743,230.451
